trade_id,stock_symbol,quantity,purchase_price,sale_price,purchase_date,sale_date,profit,transaction_fee,net_profit
1,AFSS,8881,612.77,181.89,9/26/2022,1/30/2021,-430.88,60.1,-490.98
2,OAS,1166,676.96,1.66,4/30/2020,11/8/2022,-675.3,77.01,-752.31
3,SORL,5890,904.44,860.84,12/30/2021,1/19/2021,-43.6,71.74,-115.34
4,PBPB,4242,369.02,122.47,2/25/2020,7/17/2022,-246.55,20.42,-266.97
5,OSBCP,7819,736.91,696.52,8/30/2020,6/14/2020,-40.39,31.55,-71.94
6,M,2620,182.1,965.32,12/9/2022,7/17/2021,783.22,69.92,713.3
7,EEMA,2185,658.79,380.65,11/26/2021,8/30/2022,-278.14,80.77,-358.91
8,APWC,4094,830.89,327.51,10/20/2020,9/4/2020,-503.38,82.59,-585.97
9,FRSX,14,705.45,50.53,6/29/2020,6/18/2022,-654.92,54.64,-709.56
10,NATI,6371,118.64,864.93,10/23/2021,1/11/2021,746.29,83.04,663.25
11,SSYS,4956,161.18,354.18,1/17/2020,9/7/2022,193.0,56.7,136.3
12,PGRE,4159,882.31,733.72,10/6/2022,8/20/2020,-148.59,53.98,-202.57
13,SCHW,8798,272.84,996.73,5/23/2022,7/11/2022,723.89,48.72,675.17
14,AYA,9982,162.01,627.63,5/10/2021,11/11/2020,465.62,74.51,391.11
15,TROW,6176,418.06,727.86,2/21/2022,5/10/2021,309.8,8.36,301.44
16,CYOU,7902,214.22,171.76,10/5/2020,2/3/2022,-42.46,51.48,-93.94
17,TSBK,374,982.57,420.93,7/18/2020,11/30/2021,-561.64,31.89,-593.53
18,ARLP,3107,409.86,630.67,11/4/2021,7/26/2021,220.81,27.57,193.24
19,ELP,6460,187.78,311.54,6/16/2022,5/10/2020,123.76,82.47,41.29
20,MCRN,3082,459.5,602.82,3/12/2022,6/12/2022,143.32,83.54,59.78
21,DVCR,1972,862.77,635.08,6/16/2021,1/9/2020,-227.69,86.05,-313.74
22,EVGBC,7060,67.29,378.59,11/17/2022,11/10/2020,311.3,63.43,247.87
23,PCRX,9212,921.0,811.71,5/29/2020,5/28/2022,-109.29,94.62,-203.91
24,STAA,5372,480.36,621.86,4/1/2022,7/15/2021,141.5,47.36,94.14
25,PSCU,1118,63.92,928.7,6/20/2021,5/24/2020,864.78,92.6,772.18
26,BBU,1479,965.37,830.28,6/9/2020,8/22/2021,-135.09,7.4,-142.49
27,PHH,2828,886.79,940.62,4/11/2020,6/18/2022,53.83,40.27,13.56
28,FTA,7958,688.51,580.21,4/27/2022,9/3/2020,-108.3,20.32,-128.62
29,CSV,8061,45.87,693.84,12/20/2020,8/12/2021,647.97,78.68,569.29
30,PTX,971,545.57,206.83,2/3/2021,7/5/2021,-338.74,28.41,-367.15
31,GPC,3392,632.09,226.43,3/10/2021,8/9/2021,-405.66,45.5,-451.16
32,ADNT,3968,822.77,531.01,5/19/2022,6/25/2022,-291.76,9.62,-301.38
33,FITBI,4496,838.48,528.9,10/13/2022,6/29/2022,-309.58,56.64,-366.22
34,SHG,4887,629.54,468.51,5/26/2021,11/4/2021,-161.03,0.72,-161.75
35,TANH,8344,29.25,799.1,6/28/2021,12/16/2021,769.85,19.72,750.13
36,PHD,3623,439.88,198.17,3/4/2021,6/27/2020,-241.71,48.24,-289.95
37,ALCO,1768,407.92,861.88,7/16/2022,11/14/2022,453.96,71.74,382.22
38,NW^C,8606,266.5,913.16,2/5/2020,11/12/2022,646.66,79.79,566.87
39,DXCM,6105,768.32,433.98,1/5/2020,8/5/2021,-334.34,91.55,-425.89
40,IRET^B,5820,803.2,779.95,7/25/2022,5/2/2021,-23.25,61.02,-84.27
41,LDOS,673,213.92,340.48,11/14/2021,12/29/2021,126.56,38.35,88.21
42,CAMP,4530,374.81,802.54,11/12/2022,10/19/2022,427.73,63.0,364.73
43,LILA,3411,944.17,460.96,8/5/2021,4/11/2022,-483.21,40.51,-523.72
44,LJPC,1909,604.66,346.39,3/21/2022,9/22/2020,-258.27,29.58,-287.85
45,PAAC,7042,76.92,958.41,12/16/2022,7/12/2020,881.49,67.76,813.73
46,SNDX,8808,982.1,84.95,7/17/2022,7/7/2022,-897.15,62.63,-959.78
47,ARDM,1024,346.07,256.36,5/15/2020,9/6/2020,-89.71,7.66,-97.37
48,PSA^D,6689,482.75,103.72,10/23/2021,3/10/2021,-379.03,5.46,-384.49
49,ABTL,1090,644.78,739.89,6/18/2021,8/1/2021,95.11,12.93,82.18
50,CCCR,6026,775.32,525.16,10/8/2022,3/6/2021,-250.16,97.22,-347.38
51,INGR,2526,346.81,277.48,4/4/2021,2/4/2022,-69.33,18.12,-87.45
